subject,predicate,object
67,어휘다양성,1.0
67,오타율,0.9444
67,수동태사용,0
67,정중체사용,0
67,구어체종결어미,0
67,접속사과다,0
67,의문문사용,0
67,감탄문사용,0
67,POS3gram,NOUN-ADV-VERB:2
67,POS3gram,NOUN-ADV-NUM:1
67,POS3gram,ADV-NUM-NOUN:1
67,의존트리깊이,0.0
68,어휘다양성,0.9412
68,오타율,0.9412
68,수동태사용,0
68,정중체사용,0
68,구어체종결어미,0
68,접속사과다,0
68,의문문사용,0
68,감탄문사용,0
68,POS3gram,NOUN-NOUN-NOUN:2
68,POS3gram,NOUN-NOUN-VERB:2
68,POS3gram,NOUN-NOUN-ADV:1
68,의존트리깊이,0.0
69,어휘다양성,1.0
69,오타율,1.0
69,수동태사용,0
69,정중체사용,0
69,구어체종결어미,0
69,접속사과다,1
69,의문문사용,0
69,감탄문사용,0
69,POS3gram,CCONJ-VERB-NOUN:2
69,POS3gram,VERB-NOUN-VERB:1
69,POS3gram,NOUN-VERB-ADV:1
69,의존트리깊이,0.0
70,어휘다양성,1.0
70,오타율,1.0
70,수동태사용,0
70,정중체사용,0
70,구어체종결어미,0
70,접속사과다,0
70,의문문사용,0
70,감탄문사용,0
70,POS3gram,NOUN-NOUN-NOUN:1
70,POS3gram,NOUN-NOUN-ADV:1
70,POS3gram,NOUN-ADV-NOUN:1
70,의존트리깊이,0.0
71,어휘다양성,0.9375
71,오타율,0.9375
71,수동태사용,0
71,정중체사용,0
71,구어체종결어미,0
71,접속사과다,0
71,의문문사용,0
71,감탄문사용,0
71,POS3gram,ADJ-ADV-ADV:1
71,POS3gram,ADV-ADV-NOUN:1
71,POS3gram,ADV-NOUN-VERB:1
71,의존트리깊이,0.0
72,어휘다양성,0.9091
72,오타율,0.8636
72,수동태사용,0
72,정중체사용,0
72,구어체종결어미,0
72,접속사과다,1
72,의문문사용,0
72,감탄문사용,0
72,POS3gram,NOUN-NOUN-NOUN:2
72,POS3gram,NOUN-PUNCT-NOUN:2
72,POS3gram,NOUN-NOUN-PUNCT:1
72,의존트리깊이,0.0
73,어휘다양성,1.0
73,오타율,0.7857
73,수동태사용,0
73,정중체사용,0
73,구어체종결어미,0
73,접속사과다,0
73,의문문사용,0
73,감탄문사용,0
73,POS3gram,NOUN-NOUN-NOUN:2
73,POS3gram,PRON-NOUN-NOUN:1
73,POS3gram,NOUN-NOUN-ADV:1
73,의존트리깊이,0.0
74,어휘다양성,0.9333
74,오타율,0.9
74,수동태사용,0
74,정중체사용,0
74,구어체종결어미,0
74,접속사과다,0
74,의문문사용,0
74,감탄문사용,0
74,POS3gram,NOUN-NOUN-NOUN:3
74,POS3gram,VERB-NOUN-PUNCT:2
74,POS3gram,NOUN-PUNCT-NOUN:2
74,의존트리깊이,0.0
75,어휘다양성,0.9444
75,오타율,0.8889
75,수동태사용,0
75,정중체사용,0
75,구어체종결어미,0
75,접속사과다,0
75,의문문사용,0
75,감탄문사용,0
75,POS3gram,NOUN-NOUN-NOUN:4
75,POS3gram,ADV-NOUN-NOUN:1
75,POS3gram,NOUN-NOUN-VERB:1
75,의존트리깊이,0.0
76,어휘다양성,1.0
76,오타율,1.0
76,수동태사용,0
76,정중체사용,0
76,구어체종결어미,0
76,접속사과다,0
76,의문문사용,0
76,감탄문사용,0
76,POS3gram,CCONJ-NOUN-VERB:1
76,POS3gram,NOUN-VERB-NOUN:1
76,POS3gram,VERB-NOUN-SCONJ:1
76,의존트리깊이,0.0
77,어휘다양성,1.0
77,오타율,1.0
77,수동태사용,0
77,정중체사용,0
77,구어체종결어미,0
77,접속사과다,0
77,의문문사용,0
77,감탄문사용,0
77,POS3gram,ADV-NOUN-VERB:1
77,POS3gram,NOUN-VERB-NOUN:1
77,POS3gram,VERB-NOUN-NOUN:1
77,의존트리깊이,0.0
78,어휘다양성,0.9167
78,오타율,0.8889
78,수동태사용,0
78,정중체사용,0
78,구어체종결어미,0
78,접속사과다,0
78,의문문사용,0
78,감탄문사용,0
78,POS3gram,NOUN-NOUN-NOUN:5
78,POS3gram,SCONJ-NOUN-NOUN:2
78,POS3gram,NOUN-ADV-VERB:2
78,의존트리깊이,0.0
79,어휘다양성,0.913
79,오타율,0.8696
79,수동태사용,0
79,정중체사용,0
79,구어체종결어미,0
79,접속사과다,0
79,의문문사용,0
79,감탄문사용,0
79,POS3gram,NOUN-SCONJ-PUNCT:1
79,POS3gram,SCONJ-PUNCT-CCONJ:1
79,POS3gram,PUNCT-CCONJ-CCONJ:1
79,의존트리깊이,0.0
80,어휘다양성,0.871
80,오타율,0.8387
80,수동태사용,0
80,정중체사용,0
80,구어체종결어미,0
80,접속사과다,0
80,의문문사용,0
80,감탄문사용,0
80,POS3gram,PUNCT-PROPN-PUNCT:2
80,POS3gram,PROPN-PUNCT-PROPN:2
80,POS3gram,CCONJ-PUNCT-PROPN:1
80,의존트리깊이,0.0
81,어휘다양성,1.0
81,오타율,1.0
81,수동태사용,0
81,정중체사용,0
81,구어체종결어미,0
81,접속사과다,0
81,의문문사용,0
81,감탄문사용,0
81,POS3gram,CCONJ-NOUN-ADV:1
81,POS3gram,NOUN-ADV-VERB:1
81,POS3gram,ADV-VERB-NOUN:1
81,의존트리깊이,0.0
82,어휘다양성,1.0
82,오타율,1.0
82,수동태사용,0
82,정중체사용,0
82,구어체종결어미,0
82,접속사과다,0
82,의문문사용,0
82,감탄문사용,0
82,POS3gram,NOUN-CCONJ-NOUN:1
82,POS3gram,CCONJ-NOUN-NOUN:1
82,POS3gram,NOUN-NOUN-VERB:1
82,의존트리깊이,0.0
83,어휘다양성,1.0
83,오타율,0.6
83,수동태사용,0
83,정중체사용,0
83,구어체종결어미,0
83,접속사과다,0
83,의문문사용,0
83,감탄문사용,0
83,POS3gram,CCONJ-NOUN-VERB:1
83,POS3gram,NOUN-VERB-ADV:1
83,POS3gram,VERB-ADV-VERB:1
83,의존트리깊이,0.0
84,어휘다양성,1.0
84,오타율,0.9375
84,수동태사용,0
84,정중체사용,0
84,구어체종결어미,0
84,접속사과다,0
84,의문문사용,0
84,감탄문사용,0
84,POS3gram,NOUN-NOUN-NOUN:6
84,POS3gram,NOUN-NOUN-SCONJ:2
84,POS3gram,ADV-NOUN-NOUN:1
84,의존트리깊이,0.0
85,어휘다양성,0.9474
85,오타율,0.8947
85,수동태사용,0
85,정중체사용,0
85,구어체종결어미,0
85,접속사과다,0
85,의문문사용,0
85,감탄문사용,0
85,POS3gram,NOUN-NOUN-NOUN:2
85,POS3gram,NOUN-NOUN-CCONJ:1
85,POS3gram,NOUN-CCONJ-NOUN:1
85,의존트리깊이,0.0
86,어휘다양성,0.85
86,오타율,0.75
86,수동태사용,0
86,정중체사용,0
86,구어체종결어미,0
